FID,the_geom,ID,ID1,COD_TS,SIMT,COMUNA,EJE,DESDE_CRUC,HACIA_CRUC,NOMBRE_PAR,X,Y,N_ET,N_ZP,ZP_HORARIO,FREPMA,FREPTA,NSERVICIOS,SERVICIOS,MULTIPLE_F
paradas_frecuentes.1,POINT (333352.20955628296 6285793.363584405),1060,1060,L-13-63-5-NS,PI317,MAIPé,PARQUE CENTRAL PONIENTE,CALETERA CAMINO A MELIPILLA,LAGO BRACCIANO,Central Poniente esq. / Lago Bracciano,333352.2096,6285793.3636,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-5-NS|PI317|111I;113R;113eR;I11R;I23R
paradas_frecuentes.2,POINT (333556.9557042194 6285602.346715363),1061,1061,L-13-63-10-PO,PI307,MAIPé,PARQUE CENTRAL PONIENTE,LAS ARALIAS,LAGO DE COMO,Central Poniente esq. / Lago de Como,333556.9557,6285602.3467,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-10-PO|PI307|111I;113R;113eR;I11R;I23R
paradas_frecuentes.3,POINT (333620.3706144813 6285624.741283562),1072,1072,L-13-61-10-OP,PI269,MAIPé,PARQUE CENTRAL ORIENTE,LIQUIDAMBAR 4,LAGO DE COMO,Central Oriente esq. / Lago de Como,333620.3706,6285624.7413,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-10-OP|PI269|111R;113I;113eI;I11I;I23I
paradas_frecuentes.4,POINT (334004.8629254934 6285199.223043038),1063,1063,L-13-63-20-PO,PI309,MAIPé,PARQUE CENTRAL PONIENTE,EL CACTUS,LAGO CASTELGANDOLFO,Central Poniente esq. / Castelgandolfo,334004.8629,6285199.223,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-20-PO|PI309|111I;113R;113eR;I11R;I23R
paradas_frecuentes.5,POINT (334032.7924818453 6285254.390703975),1070,1070,L-13-61-20-OP,PI267,MAIPé,PARQUE CENTRAL ORIENTE,EL HELECHO NORTE,LAGO CASTELGANDOLFO,Central Oriente esq. / Castelgandolfo,334032.7925,6285254.3907,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-20-OP|PI267|111R;113I;113eI;I11I;I23I
paradas_frecuentes.6,POINT (333766.76552915305 6285413.410050958),1062,1062,L-13-63-15-PO,PI308,MAIPé,PARQUE CENTRAL PONIENTE,EL BAMBU,LAGO BOLSENA,Central Poniente esq. / Lago Bolsena,333766.7655,6285413.4101,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-15-PO|PI308|111I;113R;113eR;I11R;I23R
paradas_frecuentes.7,POINT (333852.5351796234 6285437.298699851),1071,1071,L-13-61-15-SN,PI268,MAIPé,PARQUE CENTRAL ORIENTE,EL JACARANDA,LAGO BOLSENA,Central Oriente esq. / Lago Bolsena,333852.5352,6285437.2987,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-15-SN|PI268|111R;113I;113eI;I11I;I23I
paradas_frecuentes.8,POINT (334354.989465581 6284885.3544160295),1065,1065,L-13-63-30-PO,PI311,MAIPé,PARQUE CENTRAL PONIENTE,LAGO DE LUGANO,EUCALIPTUS,Central Poniente esq. / Eucaliptus,334354.9895,6284885.3544,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-30-PO|PI311|111I;113R;113eR;I11R;I23R
paradas_frecuentes.9,POINT (334472.6904836215 6284780.33931998),1066,1066,L-13-63-35-PO,PI312,MAIPé,PARQUE CENTRAL PONIENTE,EUCALIPTUS,LAGO ALBANO,Central Poniente esq. / Lago Albano,334472.6905,6284780.3393,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-35-PO|PI312|111I;113R;113eR;I11R;I23R
paradas_frecuentes.10,POINT (334583.4531419615 6284592.676094203),1067,1067,L-13-63-40-PO,PI1599,MAIPé,PARQUE CENTRAL PONIENTE,LAGO ALBANO,EL FILODENDRO,Parada 3 / Colegio Los Alpes,334583.4531,6284592.6761,,,,31,33.67,6,111I;111R;113I;113R;113eI;113eR,L-13-63-40-PO|PI1599|111I;111R;113I;113R;113eI;113eR
paradas_frecuentes.11,POINT (334649.11330504133 6284586.817173168),10530,10530,L-13-63-45-PO,PI313,MAIPé,PARQUE CENTRAL PONIENTE,EL FILODENDRO,LAGO CAREZZA,Parada 1 / Colegio Los Alpes,334649.1133,6284586.8172,,,,10,10,2,I11R;I23R,L-13-63-45-PO|PI313|I11R;I23R
paradas_frecuentes.12,POINT (334681.2176277105 6284593.6918394575),10529,10529,L-13-61-35-OP,PI264,MAIPé,LAGO CAREZZA,EL GOMERO,PARQUE CENTRAL -ORIENTE,Lago Carezza esq. / Pque. Central -Oriente,334681.2176,6284593.6918,,,,11,10,2,I11I;I23I,L-13-61-35-OP|PI264|I11I;I23I
paradas_frecuentes.13,POINT (334558.53654368594 6284794.129155411),1068,1068,L-13-61-30-OP,PI265,MAIPé,PARQUE CENTRAL ORIENTE,EL GOMERO,LAGO ALBANO,Central Oriente esq. / Lago Albano,334558.5385,6284794.1826,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-30-OP|PI265|111R;113I;113eI;I11I;I23I
paradas_frecuentes.14,POINT (334203.5657793501 6285023.286003284),1064,1064,L-13-63-25-PO,PI310,MAIPé,PARQUE CENTRAL PONIENTE,LAS DIADEMAS,LAGO DE LUGANO,Central Poniente esq. / Lago de Lugano,334203.5658,6285023.286,,,,21.5,31.67,5,111I;113R;113eR;I11R;I23R,L-13-63-25-PO|PI310|111I;113R;113eR;I11R;I23R
paradas_frecuentes.15,POINT (334270.10696004704 6285052.718559733),1069,1069,L-13-61-25-OP,PI266,MAIPé,PARQUE CENTRAL ORIENTE,LA CASCADA NORTE,LAGO DE LUGANO,Central Oriente esq. / Lago de Lugano,334270.1412,6285052.717,,,,30.5,22,5,111R;113I;113eI;I11I;I23I,L-13-61-25-OP|PI266|111R;113I;113eI;I11I;I23I
paradas_frecuentes.16,POINT (334718.68852926925 6285206.857652502),10524,10524,L-13-86-5-NS,PI1094,MAIPé,JORGE ANDRS GUERRA,ALCALDE JOSE LUIS INFANTE,AV. ALC. JOS LUIS INFANTE LARRAÖN,Jorge Andrs Guerra esq. / J. Infante Larra¡n,334718.7019,6285206.8142,,,,11,10,2,I11I;I23I,L-13-86-5-NS|PI1094|I11I;I23I
paradas_frecuentes.17,POINT (334739.39145435597 6285169.388382893),10535,10535,L-13-80-5-OP,PI1100,MAIPé,ALC. JOS L. INFANTE,PARQUE SUR,JORGE ANDRS GUERRA,Alc. Jos L. Infante esq. / Jorge A. Guerra,334739.3915,6285169.3884,,,,10,10,2,I11R;I23R,L-13-80-5-OP|PI1100|I11R;I23R
paradas_frecuentes.18,POINT (334846.2209818136 6285405.383422673),10523,10523,L-13-86-15-NS,PI1093,MAIPé,JORGE ANDRS GUERRA,MICHIMALONGO,AV. ALC. JOS LUIS INFANTE LARRAÖN,Jorge Andrs Guerra esq. / J. Infante Larra¡n,334846.221,6285405.3834,,,,11,10,2,I11I;I23I,L-13-86-15-NS|PI1093|I11I;I23I
paradas_frecuentes.19,POINT (338364.91883261845 6273166.623345736),9455,9455,L-30-23-5-OP,PG1650,SAN BERNARDO,ELIODORO Yµ¥EZ,ABEL REYES,EL BARRANCàN,Eliodoro Y ¤ez esq. / El Barranc¢n,338364.888,6273166.596,,,,5,5,1,G07R,L-30-23-5-OP|PG1650|G07R
paradas_frecuentes.20,POINT (338370.7301268842 6273157.514752947),9445,9445,L-30-23-3-PO,PG1568,SAN BERNARDO,ELIODORO Yµ¥EZ,EL BARRANCàN,ABEL REYES,Eliodoro Y ¤ez esq. / Abel Reyes,338370.754,6273157.515,,,,5,5,1,G07I,L-30-23-3-PO|PG1568|G07I
paradas_frecuentes.21,POINT (338398.4194036666 6273440.393255876),9444,9444,L-30-21-33-NS,PG1597,SAN BERNARDO,CAMINO EL BARRANCàN,VOLCµN TACORA,LO HERRERA,Pueblo Lo Herrera,338398.4194,6273440.3933,,,,5,5,1,G07I,L-30-21-33-NS|PG1597|G07I
paradas_frecuentes.22,POINT (338413.4056208562 6273464.716457584),9456,9456,L-30-21-35-SN,PG1644,SAN BERNARDO,CAMINO EL BARRANCàN,ELIODORO YA¥EZ,VOLCµN TACORA,Pueblo Lo Herrera,338413.4056,6273464.7165,,,,5,5,1,G07R,L-30-21-35-SN|PG1644|G07R
paradas_frecuentes.23,POINT (338453.419116772 6273654.95950181),9457,9457,L-30-21-30-SN,PG1643,SAN BERNARDO,CAMINO EL BARRANCàN,VOLCµN TACORA,LO INFANTE,Camino El Barranc¢n esq. / Lo Infante,338453.4191,6273654.9595,,,,5,5,1,G07R,L-30-21-30-SN|PG1643|G07R
paradas_frecuentes.24,POINT (338708.68444932543 6273230.098340193),9454,9454,L-30-23-10-OP,PG1651,SAN BERNARDO,ELIODORO Yµ¥EZ,VECINAL,ALTURA DEL 1840,Eliodoro Y ¤ez esq. / Altura del 1840,338708.679,6273230.05,,,,5,5,1,G07R,L-30-23-10-OP|PG1651|G07R
paradas_frecuentes.25,POINT (338798.6093694061 6273232.499523288),9446,9446,L-30-23-12-PO,PG1570,SAN BERNARDO,ELIODORO Yµ¥EZ,ABEL REYES,ALTURA DEL 1840,Eliodoro Y ¤ez esq. / Altura del 1840,338798.604,6273232.524,,,,5,5,1,G07I,L-30-23-12-PO|PG1570|G07I
paradas_frecuentes.26,POINT (339090.3981729221 6273287.431996472),9447,9447,L-30-23-18-PO,PG1571,SAN BERNARDO,ELIODORO Yµ¥EZ,ABEL REYES,ALTURA DEL 1810,Eliodoro Y ¤ez esq. / Altura del 1810,339090.409,6273287.441,,,,5,5,1,G07I,L-30-23-18-PO|PG1571|G07I
paradas_frecuentes.27,POINT (339091.3632562176 6273301.757287084),9453,9453,L-30-23-15-OP,PG1652,SAN BERNARDO,ELIODORO Yµ¥EZ,VECINAL,ALTURA DEL 1810,Eliodoro Y ¤ez esq. / Altura del 1810,339091.34,6273301.74,,,,5,5,1,G07R,L-30-23-15-OP|PG1652|G07R
paradas_frecuentes.28,POINT (339428.8399028757 6273353.564307727),9448,9448,L-30-23-23-PO,PG1569,SAN BERNARDO,ELIODORO Yµ¥EZ,VECINAL,ALTURA DEL 1100,Eliodoro Y ¤ez esq. / Altura del 1100,339428.812,6273353.586,,,,5,5,1,G07I,L-30-23-23-PO|PG1569|G07I
paradas_frecuentes.29,POINT (339488.30954157136 6273374.638035337),9452,9452,L-30-23-20-OP,PG1797,SAN BERNARDO,ELIODORO Yµ¥EZ,AVENIDA  PDTE. JORGE ALESSANDRI R.,ALTURA DEL 1100,Eliodoro Y ¤ez esq. / Altura del 1100,339488.33,6273374.68,,,,5,5,1,G07R,L-30-23-20-OP|PG1797|G07R
paradas_frecuentes.30,POINT (339950.3119908769 6273456.575613295),9451,9451,L-30-23-25-OP,PG1798,SAN BERNARDO,ELIODORO Yµ¥EZ,AVENIDA  PDTE. JORGE ALESSANDRI R.,ALTURA DEL 550,Eliodoro Y ¤ez esq. / Altura del 550,339950.31,6273456.59,,,,5,5,1,G07R,L-30-23-25-OP|PG1798|G07R
paradas_frecuentes.31,POINT (340007.58531645127 6273459.307115567),9449,9449,L-30-23-25-PO,PG1799,SAN BERNARDO,ELIODORO Yµ¥EZ,VECINAL,ALTURA DEL 550,Eliodoro Y ¤ez esq. / Altura del 550,340007.57,6273459.26,,,,5,5,1,G07I,L-30-23-25-PO|PG1799|G07I
paradas_frecuentes.32,POINT (340472.41585521353 6273544.483048581),9450,9450,L-30-23-28-PO,PG1572,SAN BERNARDO,ELIODORO Yµ¥EZ,VECINAL,AV. PDTE. JORGE ALESSANDRI R.,Eliodoro Y ¤ez esq. / Av. Pdte. J. Alessandri,340472.446,6273544.475,,,,5,5,1,G07I,L-30-23-28-PO|PG1572|G07I
paradas_frecuentes.33,POINT (338951.86447606294 6275012.840962831),9458,9458,L-30-21-25-SN,PG1645,SAN BERNARDO,CAMINO EL BARRANCàN,LO INFANTE,LO INFANTE,Camino El Barranc¢n esq. / Lo Infante,338951.8645,6275012.841,,,,5,5,1,G07R,L-30-21-25-SN|PG1645|G07R
paradas_frecuentes.34,POINT (338957.8565264022 6275119.982214626),9443,9443,L-30-21-23-NS,PG1596,SAN BERNARDO,CAMINO EL BARRANCàN,SANTA INS,LO INFANTE,Camino El Barranc¢n esq. / Lo Infante,338957.8565,6275119.9822,,,,5,5,1,G07I,L-30-21-23-NS|PG1596|G07I
paradas_frecuentes.35,POINT (339026.2685211254 6275371.4841680955),9459,9459,L-30-21-20-SN,PG1646,SAN BERNARDO,CAMINO EL BARRANCàN,LO INFANTE,SANTA INS,Camino El Barranc¢n esq. / Santa Ins,339026.2685,6275371.4842,,,,5,5,1,G07R,L-30-21-20-SN|PG1646|G07R
paradas_frecuentes.36,POINT (339020.922650976 6275457.803228817),9442,9442,L-30-21-18-NS,PG1566,SAN BERNARDO,CAMINO EL BARRANCàN,SANTA TERESA,SANTA INS,Camino El Barranc¢n esq. / Santa Ins,339020.9227,6275457.8032,,,,5,5,1,G07I,L-30-21-18-NS|PG1566|G07I
paradas_frecuentes.37,POINT (339163.31753117713 6276116.189803403),9460,9460,L-30-21-15-SN,PG1647,SAN BERNARDO,CAMINO EL BARRANCàN,STA INES,SANTA TERESA DE TANGO,Escuela @ Las Nieves,339163.3175,6276116.1898,,,,5,5,1,G07R,L-30-21-15-SN|PG1647|G07R
paradas_frecuentes.38,POINT (339151.0937604762 6276142.495237473),9441,9441,L-30-21-13-NS,PG1567,SAN BERNARDO,CAMINO EL BARRANCàN,SANTA TERESA,SANTA INS,Escuela @ Las Nieves,339151.1011,6276142.4937,,,,5,5,1,G07I,L-30-21-13-NS|PG1567|G07I
paradas_frecuentes.39,POINT (339313.51530320954 6276708.926311394),9461,9461,L-30-21-10-SN,PG1648,SAN BERNARDO,CAMINO EL BARRANCàN,STA INES,SANTA TERESA DE TANGO,Camino El Barranc¢n esq. / Sta. Teresa de Tango,339313.5153,6276708.9263,,,,5,5,1,G07R,L-30-21-10-SN|PG1648|G07R
paradas_frecuentes.40,POINT (339309.82695249846 6276724.171795685),9440,9440,L-30-21-8-NS,PG1565,SAN BERNARDO,CAMINO EL BARRANCàN,SANTA TERESA,SANTA INS,Camino El Barranc¢n esq. / Santa Ins,339309.8491,6276724.1594,,,,5,5,1,G07I,L-30-21-8-NS|PG1565|G07I
paradas_frecuentes.41,POINT (339462.84599125193 6276999.936040886),9462,9462,L-30-21-5-SN,PG1649,SAN BERNARDO,CAMINO EL BARRANCàN,STA TERESA DE TANGO,CAMINO LA CAPILLA DE NOS,Camino El Barranc¢n esq. / Cam.La Capilla de Nos,339462.846,6276999.936,,,,5,5,1,G07R,L-30-21-5-SN|PG1649|G07R
paradas_frecuentes.42,POINT (340236.98039286793 6276824.73934574),9463,9463,L-30-11-3-PO,PG1769,SAN BERNARDO,CAMINO LA CAPILLA DE NOS,EL BARRANCON,AV. PDTE. JORGE ALESSANDRI R.,Capilla de Nos esq. / Av. Pdte. J. Alessandri,340236.9804,6276824.7393,,,,5,5,1,G07R,L-30-11-3-PO|PG1769|G07R
paradas_frecuentes.43,POINT (339602.34611725406 6276997.167629378),9439,9439,L-30-11-3-OP,PG1564,SAN BERNARDO,CAMINO LA CAPILLA DE NOS,J. ALESSANDRI,EL BARRANCàN,Capilla de Nos esq. / El Barranc¢n,339602.3461,6276997.1676,,,,5,5,1,G07I,L-30-11-3-OP|PG1564|G07I
paradas_frecuentes.44,POINT (340217.15582080267 6276839.60535432),9438,9438,L-30-11-5-OP,PG1768,SAN BERNARDO,CAMINO LA CAPILLA DE NOS,J. ALESSANDRI,EL BARRANCàN,Capilla de Nos esq. / El Barranc¢n,340217.1558,6276839.6054,,,,5,5,1,G07I,L-30-11-5-OP|PG1768|G07I
paradas_frecuentes.45,POINT (334978.6186783266 6284395.25509022),10531,10531,L-13-61-40-PO,PI314,MAIPé,LAGO CAREZZA,PARQUE SUR,PARQUE SUR,Lago Carezza esq. / Parque Sur,334978.6169,6284395.2455,,,,10,10,2,I11R;I23R,L-13-61-40-PO|PI314|I11R;I23R
paradas_frecuentes.46,POINT (334996.28012725426 6284459.1175170895),10528,10528,L-13-92-5-NS,PI1097,MAIPé,PARQUE SUR,SALAR DEL HUASO NORTE,LAGO CAREZZA,Parque Sur esq. / Lago Carezza,334996.3007,6284459.1318,,,,11,10,2,I11I;I23I,L-13-92-5-NS|PI1097|I11I;I23I
paradas_frecuentes.47,POINT (335104.43375218497 6284650.208675537),10532,10532,L-13-92-10-SN,PI1098,MAIPé,PARQUE SUR,LOS COLONOS,PUERTO YUNGAY,Parque Sur esq. / Puerto Yungay,335104.4552,6284650.1737,,,,10,10,2,I11R;I23R,L-13-92-10-SN|PI1098|I11R;I23R
paradas_frecuentes.48,POINT (335105.1187444561 6284723.984661647),10527,10527,L-13-92-15-NS,PI1096,MAIPé,PARQUE SUR,CANAL DE CHACAO,PUERTO YUNGAY,Parque Sur esq. / Puerto Yungay,335105.134,6284723.9753,,,,11,10,2,I11I;I23I,L-13-92-15-NS|PI1096|I11I;I23I
paradas_frecuentes.49,POINT (335191.66912170284 6284891.742853226),10533,10533,L-13-92-20-SN,PI1099,MAIPé,PARQUE SUR,PUERTO YUNGAY,AV. ALC. JOS LUIS INFANTE LARRAÖN,Parque Sur esq. / J. Infante Larra¡n,335191.6289,6284891.6945,,,,10,10,2,I11R;I23R,L-13-92-20-SN|PI1099|I11R;I23R
paradas_frecuentes.50,POINT (334896.3433104035 6285055.2812913945),10525,10525,L-13-80-5-PO,PI1639,MAIPé,ALC. JOS L. INFANTE,JORGE ANDRS GUERRA,BARRIO CENTRAL,Alc. Jos L. Infante esq. / Barrio Central,334896.3433,6285055.2813,,,,11,10,2,I11I;I23I,L-13-80-5-PO|PI1639|I11I;I23I
paradas_frecuentes.51,POINT (334953.21515803505 6285074.670787539),10534,10534,L-13-80-10-OP,PI1638,MAIPé,ALC. JOS L. INFANTE,CANAL PUYUHUAPI,CANAL MELINKA,Alc. Jos L. Infante esq. / Canal Melinka,334953.2366,6285074.6358,,,,10,10,2,I11R;I23R,L-13-80-10-OP|PI1638|I11R;I23R
paradas_frecuentes.52,POINT (335151.5449078225 6284930.100249989),10526,10526,L-13-80-10-PO,PI1095,MAIPé,ALC. JOS L. INFANTE,BARRIO CENTRAL,PARQUE SUR,Alc. Jos L. Infante esq. / Parque Sur,335151.5032,6284930.1381,,,,11,10,2,I11I;I23I,L-13-80-10-PO|PI1095|I11I;I23I
paradas_frecuentes.53,POINT (340970.1997142392 6280163.779808132),9892,9892,L-30-69-25-NS,PG804,SAN BERNARDO,ENRIQUE MADRID OSORIO,PEDRO TABILO,ONOFRE RAMÖREZ,E. Madrid Osorio esq. / Onofre Ram¡rez,340970.18361,6280163.77056,,,,11.5,15.67,1,G22R,L-30-69-25-NS|PG804|G22R
paradas_frecuentes.54,POINT (340879.7880406233 6280360.497256264),9855,9855,L-30-69-30-SN,PG756,SAN BERNARDO,ENRIQUE MADRID OSORIO,PEDRO TABILO,EYZAGUIRRE,E. Madrid Osorio esq. / Eyzaguirre,340879.7954,6280360.5369,,,,12.5,15.67,1,G22I,L-30-69-30-SN|PG756|G22I
paradas_frecuentes.55,POINT (340883.5610674763 6280440.866397138),9891,9891,L-30-26-15-NS,PG803,SAN BERNARDO,EYZAGUIRRE,AMERICA,EUCALIPTUS,Eyzaguirre esq. / Eucaliptus,340883.5611,6280440.8664,,,,11.5,15.67,1,G22R,L-30-26-15-NS|PG803|G22R
paradas_frecuentes.56,POINT (340946.1862418539 6282051.139367749),9292,9292,L-30-32-1-OP,PG1733,SAN BERNARDO,O'HIGGINS,BRISTOL,NUEVA 1,Parada Col¢n,340946.144,6282051.188,,,,10,9.33,2,G02I;G02R,L-30-32-1-OP|PG1733|G02I;G02R
paradas_frecuentes.57,POINT (340967.3174617458 6282524.342685752),5858,5858,T-30-243-SN-2,PG81,SAN BERNARDO,AV. PDTE. JORGE ALESSANDRI R.,JOS SUCRE,AMAZONAS,Av. Pdte. J. Alessandri R. esq. / Amazonas,340967.27617,6282524.35574,,,,18,11,1,201eR,T-30-243-SN-2|PG81|201eR
paradas_frecuentes.58,POINT (340918.35959562473 6283042.306564992),5853,5853,T-30-243-NS-30,PG76,SAN BERNARDO,AV. PDTE. JORGE ALESSANDRI R.,N. DE GAETE,YERBAS BUENAS,Av. Pdte. J. Alessandri R. esq. / Yerbas Buenas,340918.3596,6283042.3066,,,,19.5,16.33,2,201eI;261eI,T-30-243-NS-30|PG76|201eI;261eI
paradas_frecuentes.59,POINT (340958.21776700317 6283472.560181172),5852,5852,T-30-243-NS-25,PB1546,SAN BERNARDO,AV. PDTE. JORGE ALESSANDRI R.,EL RODEO,NACIMIENTO,Av. Pdte. J. Alessandri R. esq. / Nacimiento,340958.2269,6283472.5732,,,,19.5,16.33,2,201eI;261eI,T-30-243-NS-25|PB1546|201eI;261eI
paradas_frecuentes.60,POINT (340932.74935813085 6285461.267270684),9598,9598,L-30-31-10-PO,PG1053,SAN BERNARDO,LAS ACACIAS,EL NOCEDAL,EL VERGEL,Las Acacias esq. / El Vergel,340932.7494,6285461.2673,,,,5.5,5.67,1,G09R,L-30-31-10-PO|PG1053|G09R
paradas_frecuentes.61,POINT (340625.5358863786 6285540.813794376),9595,9595,L-30-31-5-OP,PG1047,SAN BERNARDO,LAS ACACIAS,EL ARRAYAN,AVENIDA DE CHENA,Las Acacias esq. / Avenida de Chena,340625.5596,6285540.77675,,,,5.5,5.67,1,G09I,L-30-31-5-OP|PG1047|G09I
paradas_frecuentes.62,POINT (340627.9690554582 6285870.397387873),9597,9597,L-30-15-10-NS,PG1051,SAN BERNARDO,CHENA,STA RITA,SANTA ALEJANDRA,Chena esq. / Santa Alejandra,340627.9691,6285870.3974,,,,5.5,5.67,1,G09R,L-30-15-10-NS|PG1051|G09R
paradas_frecuentes.63,POINT (341278.96437235305 6276311.505047293),2532,2532,L-30-46-6-SN,PG1615,SAN BERNARDO,AV. PDTE. JORGE ALESSANDRI R.,ENRIQUE LYNCH,JULIO Zé¥IGA,Av. Pdte. J. Alessandri R. esq. / Julio Z£¤iga,341278.9644,6276311.505,,,,8,7,1,211R,L-30-46-6-SN|PG1615|211R
paradas_frecuentes.64,POINT (341326.55797168217 6275947.140161628),2531,2531,L-30-46-4-SN,PG1607,SAN BERNARDO,AV. PDTE. JORGE ALESSANDRI R.,AVENIDA  PORTALES,CARLOS ALEGRÖA,Av. Pdte. J. Alessandri R. esq. / Carlos Alegr¡a,341326.558,6275947.1402,,,,8,7,1,211R,L-30-46-4-SN|PG1607|211R
paradas_frecuentes.65,POINT (341236.1118028098 6276602.296521287),2533,2533,L-30-46-3-SN,PG1574,SAN BERNARDO,AV. PDTE. JORGE ALESSANDRI R.,FLORENCIO MARÖN,REGINA GµLVEZ,Av. Pdte. J. Alessandri R. esq. / Regina G lvez,341236.1118,6276602.2965,,,,8,7,1,211R,L-30-46-3-SN|PG1574|211R
paradas_frecuentes.66,POINT (341126.23399519897 6276631.978395697),9464,9464,L-30-11-5-PO,PG1641,SAN BERNARDO,CAMINO LA CAPILLA DE NOS,EL BARRANCON,PDTE. JORGE ALESSANDRI RODRÖGUEZ,Capilla de Nos esq. / Pdte. J. A. Rodr¡guez,341126.234,6276631.9784,,,,5,5,1,G07R,L-30-11-5-PO|PG1641|G07R
paradas_frecuentes.67,POINT (341255.4250836972 6276646.208266264),9437,9437,L-30-55-5-OP,PG1653,SAN BERNARDO,REGINA GµLVEZ,JOAQUIN FABRES,AV. PDTE. JORGE ALESSANDRI R.,Regina G lvez esq. / Av. Pdte. J. Alessandri,341255.4251,6276646.2083,,,,5,5,1,G07I,L-30-55-5-OP|PG1653|G07I
paradas_frecuentes.68,POINT (341381.51391612645 6276685.342306665),2534,2534,L-30-55-10-PO,PG1575,SAN BERNARDO,REGINA GµLVEZ,PABLO BURCHARD,JUAN HARRIS,Regina G lvez esq. / Juan Harris,341381.5015,6276685.3346,,,,13,12,2,211R;G07R,L-30-55-10-PO|PG1575|211R;G07R
paradas_frecuentes.69,POINT (341424.6414584291 6276708.683444191),9436,9436,L-30-55-15-OP,PG1758,SAN BERNARDO,REGINA GµLVEZ,INES DE SUµREZ,JUAN HARRIS,Regina G lvez esq. / Juan Harris,341424.6415,6276708.6834,,,,5,5,1,G07I,L-30-55-15-OP|PG1758|G07I
paradas_frecuentes.70,POINT (341497.87873945513 6276246.355195411),2530,2530,L-30-51-125-NS,PG1702,SAN BERNARDO,AVENIDA PORTALES,ROBERT KENNEDY,ENRIQUE LYNCH,Avenida Portales esq. / Enrique Lynch,341497.892,6276246.319,,,,8,7,1,211R,L-30-51-125-NS|PG1702|211R
paradas_frecuentes.71,POINT (341558.4491499128 6276443.575552467),2529,2529,L-30-51-120-NS,PG1605,SAN BERNARDO,AVENIDA PORTALES,REGINA GALVEZ,ROBERT KENNEDY,Avenida Portales esq. / Robert Kennedy,341558.4492,6276443.5756,,,,16,14,2,211I;211R,L-30-51-120-NS|PG1605|211I;211R
paradas_frecuentes.72,POINT (341593.9294524599 6276705.158746079),2535,2535,L-30-55-20-PO,PG1576,SAN BERNARDO,REGINA GµLVEZ,FRESIA,AVENIDA PORTALES,Parada 3 / Estaci¢n Nos,341593.9467,6276705.145,,,,13,12,2,211R;G07R,L-30-55-20-PO|PG1576|211R;G07R
paradas_frecuentes.73,POINT (341620.42824867496 6276735.434143796),2528,2528,L-30-51-115-NS,PG703,SAN BERNARDO,AVENIDA PORTALES,LUIS TORRES RIOSECO,REGINA GµLVEZ,Parada 1 / Estaci¢n Nos,341620.4282,6276735.4341,,,,18,16.67,3,211I;G02I;G07I,L-30-51-115-NS|PG703|211I;G02I;G07I
paradas_frecuentes.74,POINT (341667.69333553954 6276716.137935242),9326,9326,L-30-13-5-OP,PG726,SAN BERNARDO,CAMINO LOS MORROS,STA FILOMENA,AVENIDA PORTALES,Parada 4 / Estaci¢n Nos,341667.6933,6276716.1379,,,,5,4.67,1,G02R,L-30-13-5-OP|PG726|G02R
paradas_frecuentes.75,POINT (341663.8750010041 6276823.77906658),2536,2536,L-30-51-110-SN,PG1606,SAN BERNARDO,AVENIDA PORTALES,REGINA GALVEZ,LUIS TORRES RIOSECO,Parada 2 / Estaci¢n Nos,341663.875,6276823.7791,,,,13,12,2,211R;G07R,L-30-51-110-SN|PG1606|211R;G07R
paradas_frecuentes.76,POINT (342027.6073162341 6276511.989694896),9298,9298,L-30-13-5-PO,PG1629,SAN BERNARDO,CAMINO LOS MORROS,SANTA FILOMENA,SANTA FILOMENA,Camino Los Morros esq. / Santa Filomena,342027.601,6276511.995,,,,5,4.67,1,G02I,L-30-13-5-PO|PG1629|G02I
paradas_frecuentes.77,POINT (342000.7810122003 6276524.081763556),9325,9325,L-30-13-10-OP,PG1628,SAN BERNARDO,CAMINO LOS MORROS,JOSEPH DENOS,SANTA FILOMENA,Camino Los Morros esq. / Santa Filomena,342000.772,6276524.064,,,,5,4.67,1,G02R,L-30-13-10-OP|PG1628|G02R
paradas_frecuentes.78,POINT (342295.53117394244 6276484.787354813),9324,9324,L-30-13-13-OP,PG1751,SAN BERNARDO,CAMINO LOS MORROS,JOSEPH DENOS,JOSEPH DENOS,Camino Los Morros esq. / Joseph Denos,342295.5728,6276484.7772,,,,5,4.67,1,G02R,L-30-13-13-OP|PG1751|G02R
paradas_frecuentes.79,POINT (342375.48804438836 6276451.938492726),9299,9299,L-30-13-7-PO,PG1752,SAN BERNARDO,CAMINO LOS MORROS,JOSEPH DENOS,JOSEPH DENOS,Camino Los Morros esq. / Joseph Denos,342375.489,6276451.891,,,,5,4.67,1,G02I,L-30-13-7-PO|PG1752|G02I
