FID,the_geom,ID,ID1,COD_TS,SIMT,COMUNA,EJE,DESDE_CRUC,HACIA_CRUC,NOMBRE_PAR,X,Y,N_ET,N_ZP,ZP_HORARIO,FREPMA,FREPTA,NSERVICIOS,SERVICIOS,MULTIPLE_F
paradas_frecuentes.11019,POINT (357178.5140503653 6305056.660477892),4121,4121,T-15-306-OP-5,PC235,VITACURA,AVENIDA PRESIDENTE KENNEDY,AVENIDA  TABANCURA,CORTE DE APELACIONES,Parada 2 / Nudo Estoril,357178.4894,6305056.6536,,,,82.5,72,8,405I;409R;411R;502I;C01R;C01cR;C11I;C16R,T-15-306-OP-5|PC235|405I;409R;411R;502I;C01R;C01cR;C11I;C16R
paradas_frecuentes.11020,POINT (357173.4332544971 6305224.498572655),4120,4120,T-15-137-NS-10,PC234,VITACURA,TABANCURA,LOS RODODENDROS,TUPUNGATO,Tabancura esq. / Tupungato,357173.4398,6305224.5504,,,,32.5,25,3,405I;502I;C11I,T-15-137-NS-10|PC234|405I;502I;C11I
paradas_frecuentes.11021,POINT (357274.20487561147 6305034.781007639),4122,4122,T-17-136-PO-55,PC236,LAS CONDES,AVENIDA LAS CONDES,CAMPANARIO,ESTORIL,Parada 1 / Nudo Estoril,357274.2049,6305034.781,,,,141,105,12,405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I,T-17-136-PO-55|PC236|405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I
paradas_frecuentes.11022,POINT (357251.860079185 6305168.316190517),4133,4133,T-15-136-OP-30,PC1135,VITACURA,AVENIDA LAS CONDES,PAMPLONA,AVENIDA TABANCURA,Parada 2 / Nudo Estoril,357251.8601,6305168.3162,,,,17.5,22.33,2,405R;502R,T-15-136-OP-30|PC1135|405R;502R
paradas_frecuentes.11023,POINT (357299.06328322494 6305185.204335323),4187,4187,T-15-136-OP-25,PC244,VITACURA,AVENIDA LAS CONDES,PAMPLONA,AVENIDA TABANCURA,Parada 4 / Nudo Estoril,357299.1041,6305185.2553,,,,73.5,75,8,406R;409R;411R;426R;430R;406cR;C01cR;C05I,T-15-136-OP-25|PC244|406R;409R;411R;426R;430R;406cR;C01cR;C05I
paradas_frecuentes.11024,POINT (357381.5697855677 6305054.108085636),7161,7161,L-17-12-5-OP,PC891,LAS CONDES,ESTORIL,-,AVENIDA LAS CONDES,Parada 6 / Nudo Estoril,357381.60453,6305054.06968,,,,20,16,2,C15I;C15R,L-17-12-5-OP|PC891|C15I;C15R
paradas_frecuentes.11025,POINT (356668.22826498194 6305549.755170085),4135,4135,T-15-135-OP-5,PC246,VITACURA,AVENIDA VITACURA,VALLE CENTRAL ( POR EN FRENTE ),EL MANANTIAL,Avenida Vitacura esq. / El Manantial,356668.2283,6305549.7552,,,,17.5,22.33,2,405R;502R,T-15-135-OP-5|PC246|405R;502R
paradas_frecuentes.11026,POINT (357072.2649257356 6305365.188518517),7100,7100,L-15-6-115-PO,PC888,VITACURA,LAS HUALTATAS,LOS TRIBUNALES,AVENIDA TABANCURA,Las Hualtatas esq. / Av. Tabancura,357072.2649,6305365.1885,,,,8,8,1,C11I,L-15-6-115-PO|PC888|C11I
paradas_frecuentes.11027,POINT (357049.6751154206 6305426.852047541),4119,4119,T-15-137-NS-5,PC233,VITACURA,TABANCURA,LOS DRAGONES,LAS HUALTATAS,Tabancura esq. / Las Hualtatas,357049.6751,6305426.852,,,,24.5,17,2,405I;502I,T-15-137-NS-5|PC233|405I;502I
paradas_frecuentes.11028,POINT (357114.3402923747 6305357.602325963),4134,4134,T-15-137-SN-5,PC245,VITACURA,TABANCURA,AV LAS CONDES,LAS HUALTATAS,Tabancura esq. / Las Hualtatas,357114.3403,6305357.6023,,,,17.5,22.33,2,405R;502R,T-15-137-SN-5|PC245|405R;502R
paradas_frecuentes.11029,POINT (356292.9939124009 6306965.5809903685),5989,5989,T-16-462-NS-5,PC1071,LO BARNECHEA,STA. TERESA DE LOS ANDES,GRAN VÖA,RAIMUNDO LARRAÖN,Sta. Teresa de Los Andes esq. / Raimundo Larra¡n,356292.9939,6306965.581,,,,21,29,3,414eR;C10eR;C14R,T-16-462-NS-5|PC1071|414eR;C10eR;C14R
paradas_frecuentes.11030,POINT (356296.4442470942 6307027.851030273),5976,5976,T-16-462-SN-5,PC1063,LO BARNECHEA,STA. TERESA DE LOS ANDES,RAIMUNDO AVENIDA  LARRAÖN,GRAN VÖA,Sta. Teresa de Los Andes esq. / Gran V¡a,356296.4442,6307027.851,,,,33,18,3,414eI;C10eI;C14I,T-16-462-SN-5|PC1063|414eI;C10eI;C14I
paradas_frecuentes.11031,POINT (356316.404753731 6307357.430003108),7070,7070,T-16-451-SN-3,PC1040,LO BARNECHEA,AVENIDA JOS ALCALDE DLANO,GRAN VÖA,PORTAL DE LA AGUADA,Jos Alcalde Dlano esq. / Portal de La Aguada,356316.3815,6307357.4423,,,,24.5,18,2,C10eI;C14I,T-16-451-SN-3|PC1040|C10eI;C14I
paradas_frecuentes.11032,POINT (356312.26834722486 6307636.410621379),5988,5988,T-16-451-NS-15,PC943,LO BARNECHEA,AVENIDA JOS ALCALDE DLANO,CERRO LA CAMPANA,MANQUEHUE -ORIENTE,Jos Alcalde Dlano esq. / Manquehue -Oriente,356312.2683,6307636.4106,,,,21,29,3,414eR;C10eR;C14R,T-16-451-NS-15|PC943|414eR;C10eR;C14R
paradas_frecuentes.11033,POINT (356337.9692421541 6307553.8332435),5977,5977,T-16-451-SN-5,PC939,LO BARNECHEA,AVENIDA JOS ALCALDE DLANO,PORTAL DE LA AGUADA,EL TRANQUE,Jos Alcalde Dlano esq. / El Tranque,356337.9692,6307553.8332,,,,33,18,3,414eI;C10eI;C14I,T-16-451-SN-5|PC939|414eI;C10eI;C14I
paradas_frecuentes.11034,POINT (357518.2429245527 6304769.980797816),7160,7160,T-17-147-PO-35,PC1054,LAS CONDES,AVENIDA PAUL HARRIS,CAMINO PéBLICO,RÖO MAULE,Avenida Paul Harris esq. / R¡o Maule,357518.2429,6304769.9808,,,,10,8,1,C15I,T-17-147-PO-35|PC1054|C15I
paradas_frecuentes.11035,POINT (357454.1230864974 6305238.727106407),4123,4123,T-17-136-PO-60,PC237,LAS CONDES,AVENIDA LAS CONDES,ESTORIL,LO FONTECILLA,Avenida Las Condes esq. / Lo Fontecilla,357454.1653,6305238.6795,,,,141,105,12,405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I,T-17-136-PO-60|PC237|405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I
paradas_frecuentes.11036,POINT (357669.9313370538 6305546.229181673),4132,4132,T-15-136-OP-20,PC242,VITACURA,AVENIDA LAS CONDES,PAMPLONA,AVENIDA TABANCURA,Homecenter @ Las Condes,357669.94,6305546.27,,,,114,118.33,12,405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R,T-15-136-OP-20|PC242|405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R
paradas_frecuentes.11037,POINT (357802.1312898871 6305712.31276259),4131,4131,T-15-136-OP-15,PC241,VITACURA,AVENIDA LAS CONDES,VALLE ALEGRE,PAMPLONA,Universidad @ del Pac¡fico,357802.1,6305712.26,,,,114,118.33,12,405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R,T-15-136-OP-15|PC241|405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R
paradas_frecuentes.11038,POINT (357848.9206124483 6305738.619009608),4124,4124,T-17-136-PO-70,PC239,LAS CONDES,AVENIDA LAS CONDES,CURAMAVIDA,VALLE ALEGRE,Universidad @ del Pac¡fico,357848.9288,6305738.646,,,,141,105,12,405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I,T-17-136-PO-70|PC239|405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I
paradas_frecuentes.11039,POINT (358019.573138822 6305947.962497499),4130,4130,T-15-136-OP-10,PC240,VITACURA,AVENIDA LAS CONDES,SAN DAMIµN,PAMPLONA,Avenida Las Condes esq. / Pamplona,358019.53,6305948,,,,114,118.33,12,405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R,T-15-136-OP-10|PC240|405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R
